expert,dataset,category,k_shot,seed,support_set_id,metrics_path,num_predictions,num_success,num_failed,average_tool_calls,average_runtime_ms,abstention_rate
anomalydino,mvtec,bottle,1,0,mvtec_bottle_k1_seed0,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/bottle/k1/seed0/mvtec_bottle_k1_seed0/metrics.json,83,83,0,1.0,47.698101507084644,0.0
anomalydino,mvtec,bottle,1,1,mvtec_bottle_k1_seed1,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/bottle/k1/seed1/mvtec_bottle_k1_seed1/metrics.json,83,83,0,1.0,48.00086728358888,0.0
anomalydino,mvtec,bottle,2,0,mvtec_bottle_k2_seed0,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/bottle/k2/seed0/mvtec_bottle_k2_seed0/metrics.json,83,83,0,1.0,53.48975337334875,0.0
anomalydino,mvtec,bottle,2,1,mvtec_bottle_k2_seed1,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/bottle/k2/seed1/mvtec_bottle_k2_seed1/metrics.json,83,83,0,1.0,55.25034517105893,0.0
anomalydino,mvtec,cable,1,0,mvtec_cable_k1_seed0,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/cable/k1/seed0/mvtec_cable_k1_seed0/metrics.json,150,150,0,1.0,65.74584241180371,0.0
anomalydino,mvtec,cable,1,1,mvtec_cable_k1_seed1,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/cable/k1/seed1/mvtec_cable_k1_seed1/metrics.json,150,150,0,1.0,65.92761333410938,0.0
anomalydino,mvtec,cable,2,0,mvtec_cable_k2_seed0,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/cable/k2/seed0/mvtec_cable_k2_seed0/metrics.json,150,150,0,1.0,70.9585759555921,0.0
anomalydino,mvtec,cable,2,1,mvtec_cable_k2_seed1,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/cable/k2/seed1/mvtec_cable_k2_seed1/metrics.json,150,150,0,1.0,70.86661675168823,0.0
anomalydino,mvtec,capsule,1,0,mvtec_capsule_k1_seed0,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/capsule/k1/seed0/mvtec_capsule_k1_seed0/metrics.json,132,132,0,1.0,63.532021422306016,0.0
anomalydino,mvtec,capsule,1,1,mvtec_capsule_k1_seed1,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/capsule/k1/seed1/mvtec_capsule_k1_seed1/metrics.json,132,132,0,1.0,63.5590976188806,0.0
anomalydino,mvtec,capsule,2,0,mvtec_capsule_k2_seed0,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/capsule/k2/seed0/mvtec_capsule_k2_seed0/metrics.json,132,132,0,1.0,68.3042495661401,0.0
anomalydino,mvtec,capsule,2,1,mvtec_capsule_k2_seed1,outputs/stage2/grid_mvtec_small/anomalydino/mvtec/capsule/k2/seed1/mvtec_capsule_k2_seed1/metrics.json,132,132,0,1.0,68.59287962751378,0.0
patchcore,mvtec,bottle,1,0,mvtec_bottle_k1_seed0,outputs/stage2/grid_mvtec_small/patchcore/mvtec/bottle/k1/seed0/mvtec_bottle_k1_seed0/metrics.json,83,83,0,1.0,42.08778567802924,0.0
patchcore,mvtec,bottle,1,1,mvtec_bottle_k1_seed1,outputs/stage2/grid_mvtec_small/patchcore/mvtec/bottle/k1/seed1/mvtec_bottle_k1_seed1/metrics.json,83,83,0,1.0,40.763926507164555,0.0
patchcore,mvtec,bottle,2,0,mvtec_bottle_k2_seed0,outputs/stage2/grid_mvtec_small/patchcore/mvtec/bottle/k2/seed0/mvtec_bottle_k2_seed0/metrics.json,83,83,0,1.0,43.3936560910801,0.0
patchcore,mvtec,bottle,2,1,mvtec_bottle_k2_seed1,outputs/stage2/grid_mvtec_small/patchcore/mvtec/bottle/k2/seed1/mvtec_bottle_k2_seed1/metrics.json,83,83,0,1.0,43.0745380476162,0.0
patchcore,mvtec,cable,1,0,mvtec_cable_k1_seed0,outputs/stage2/grid_mvtec_small/patchcore/mvtec/cable/k1/seed0/mvtec_cable_k1_seed0/metrics.json,150,150,0,1.0,57.54282856515298,0.0
patchcore,mvtec,cable,1,1,mvtec_cable_k1_seed1,outputs/stage2/grid_mvtec_small/patchcore/mvtec/cable/k1/seed1/mvtec_cable_k1_seed1/metrics.json,150,150,0,1.0,57.233114615858845,0.0
patchcore,mvtec,cable,2,0,mvtec_cable_k2_seed0,outputs/stage2/grid_mvtec_small/patchcore/mvtec/cable/k2/seed0/mvtec_cable_k2_seed0/metrics.json,150,150,0,1.0,60.157250884609915,0.0
patchcore,mvtec,cable,2,1,mvtec_cable_k2_seed1,outputs/stage2/grid_mvtec_small/patchcore/mvtec/cable/k2/seed1/mvtec_cable_k2_seed1/metrics.json,150,150,0,1.0,60.07865618681535,0.0
patchcore,mvtec,capsule,1,0,mvtec_capsule_k1_seed0,outputs/stage2/grid_mvtec_small/patchcore/mvtec/capsule/k1/seed0/mvtec_capsule_k1_seed0/metrics.json,132,132,0,1.0,54.91718944871206,0.0
patchcore,mvtec,capsule,1,1,mvtec_capsule_k1_seed1,outputs/stage2/grid_mvtec_small/patchcore/mvtec/capsule/k1/seed1/mvtec_capsule_k1_seed1/metrics.json,132,132,0,1.0,54.72848377416305,0.0
patchcore,mvtec,capsule,2,0,mvtec_capsule_k2_seed0,outputs/stage2/grid_mvtec_small/patchcore/mvtec/capsule/k2/seed0/mvtec_capsule_k2_seed0/metrics.json,132,132,0,1.0,57.80428238689307,0.0
patchcore,mvtec,capsule,2,1,mvtec_capsule_k2_seed1,outputs/stage2/grid_mvtec_small/patchcore/mvtec/capsule/k2/seed1/mvtec_capsule_k2_seed1/metrics.json,132,132,0,1.0,59.03035192044847,0.0
winclip,mvtec,bottle,1,0,mvtec_bottle_k1_seed0,outputs/stage2/grid_mvtec_small/winclip/mvtec/bottle/k1/seed0/mvtec_bottle_k1_seed0/metrics.json,83,83,0,1.0,62.963729541950734,0.0
winclip,mvtec,bottle,1,1,mvtec_bottle_k1_seed1,outputs/stage2/grid_mvtec_small/winclip/mvtec/bottle/k1/seed1/mvtec_bottle_k1_seed1/metrics.json,83,83,0,1.0,62.546317075682154,0.0
winclip,mvtec,bottle,2,0,mvtec_bottle_k2_seed0,outputs/stage2/grid_mvtec_small/winclip/mvtec/bottle/k2/seed0/mvtec_bottle_k2_seed0/metrics.json,83,83,0,1.0,63.11532375346645,0.0
winclip,mvtec,bottle,2,1,mvtec_bottle_k2_seed1,outputs/stage2/grid_mvtec_small/winclip/mvtec/bottle/k2/seed1/mvtec_bottle_k2_seed1/metrics.json,83,83,0,1.0,65.60972920641393,0.0
winclip,mvtec,cable,1,0,mvtec_cable_k1_seed0,outputs/stage2/grid_mvtec_small/winclip/mvtec/cable/k1/seed0/mvtec_cable_k1_seed0/metrics.json,150,150,0,1.0,98.28160296194255,0.0
winclip,mvtec,cable,1,1,mvtec_cable_k1_seed1,outputs/stage2/grid_mvtec_small/winclip/mvtec/cable/k1/seed1/mvtec_cable_k1_seed1/metrics.json,150,150,0,1.0,98.15571592266981,0.0
winclip,mvtec,cable,2,0,mvtec_cable_k2_seed0,outputs/stage2/grid_mvtec_small/winclip/mvtec/cable/k2/seed0/mvtec_cable_k2_seed0/metrics.json,150,150,0,1.0,98.84160556985687,0.0
winclip,mvtec,cable,2,1,mvtec_cable_k2_seed1,outputs/stage2/grid_mvtec_small/winclip/mvtec/cable/k2/seed1/mvtec_cable_k2_seed1/metrics.json,150,150,0,1.0,98.81198382936418,0.0
winclip,mvtec,capsule,1,0,mvtec_capsule_k1_seed0,outputs/stage2/grid_mvtec_small/winclip/mvtec/capsule/k1/seed0/mvtec_capsule_k1_seed0/metrics.json,132,132,0,1.0,96.29540176705852,0.0
winclip,mvtec,capsule,1,1,mvtec_capsule_k1_seed1,outputs/stage2/grid_mvtec_small/winclip/mvtec/capsule/k1/seed1/mvtec_capsule_k1_seed1/metrics.json,132,132,0,1.0,93.76904665083258,0.0
winclip,mvtec,capsule,2,0,mvtec_capsule_k2_seed0,outputs/stage2/grid_mvtec_small/winclip/mvtec/capsule/k2/seed0/mvtec_capsule_k2_seed0/metrics.json,132,132,0,1.0,94.29258753273946,0.0
winclip,mvtec,capsule,2,1,mvtec_capsule_k2_seed1,outputs/stage2/grid_mvtec_small/winclip/mvtec/capsule/k2/seed1/mvtec_capsule_k2_seed1/metrics.json,132,132,0,1.0,94.61222787098394,0.0
