image_id,label,mask_path,defect_type
visa_6e189c3c17482130,0,,good
visa_8e77ba31e03736d8,0,,good
visa_f9d6800c8b92d2ff,0,,good
visa_ae135399c852519c,0,,good
visa_59e038d3a8e937f3,0,,good
visa_7aaa09fff7e24012,0,,good
visa_120e3d25876be79c,0,,good
visa_ef067f838848e371,0,,good
visa_66ad0d62c8b07b65,0,,good
visa_082a118fdc1d6e81,0,,good
visa_418042466a27a59e,0,,good
visa_aba623cbd8ccf935,0,,good
visa_0eedea20a8d613df,0,,good
visa_c4ae866bfc9c0318,0,,good
visa_fbed01268b36c78c,0,,good
visa_5d8754774643f53f,0,,good
visa_53e027d6e3c45e4b,0,,good
visa_d4bbb9e7f0f624f9,0,,good
visa_5e59bcfa5cc5202a,0,,good
visa_a54ff32309a74b3b,0,,good
visa_02a8eda44c2624bf,0,,good
visa_223d32a97186e77c,0,,good
visa_1c8a605660a96928,0,,good
visa_2594b9e6317b91c2,0,,good
visa_7604cd73b622d6f1,0,,good
visa_9951b809bb329bb1,0,,good
visa_a6eb0354607d5c64,0,,good
visa_1a334d9895ae6131,0,,good
visa_40dcde42175ad0c3,0,,good
visa_b611ef8041f3df6f,0,,good
visa_f8cd69e9b28a640b,0,,good
visa_c3c4b0b5137f9ef1,0,,good
visa_f9b8fca8f59be0b6,0,,good
visa_9779d7007b6ff3f3,0,,good
visa_8c42558742e76b5e,0,,good
visa_d77f00c780bc6c97,0,,good
visa_d85dafe1d6d3452e,0,,good
visa_a79bff57e0f242a6,0,,good
visa_e574d347bdadb30a,0,,good
visa_63d3332f1287295b,0,,good
visa_93e6d511af56cb1d,0,,good
visa_4aee97c987b88fe0,0,,good
visa_c0980ea90b86f50b,0,,good
visa_499d2fef3972100b,0,,good
visa_66587978d96e8da0,0,,good
visa_67deaa2865827c68,0,,good
visa_d6c8856c51dffd02,0,,good
visa_1327d2616a2615c4,0,,good
visa_7ac62a62a223f0b2,0,,good
visa_6a2fc443efaed87e,0,,good
visa_7a72adb0b87d53e0,0,,good
visa_5b3c846005a9e8c4,0,,good
visa_4aa33e4efa1b6ce8,0,,good
visa_4338807e3c1a7eb6,0,,good
visa_d96e6294827005b4,0,,good
visa_573df491ef2ef76a,0,,good
visa_cae082d737ea3229,0,,good
visa_c7d056d0b3b7698d,0,,good
visa_a794a5bf47e63ced,0,,good
