image_id,label,mask_path,defect_type
mvtec_d6357fd3cf877bd9,0,,good
mvtec_6c299911e86ab881,0,,good
mvtec_5546e2e5aa0bed4d,0,,good
mvtec_3f57017c46e174aa,0,,good
mvtec_39e97bb8b7dd21e7,0,,good
mvtec_cbaf7aa59d34e73e,0,,good
mvtec_ad0f1926eb1740b2,0,,good
mvtec_16536d3205281b2a,0,,good
mvtec_a7944b1b2f350025,0,,good
mvtec_47084347423bda7f,0,,good
mvtec_8aaa80ad057017a9,0,,good
mvtec_98b846cd4efbb24f,0,,good
mvtec_54824fe4a5464203,0,,good
mvtec_53e3efd22777d7de,0,,good
mvtec_99d97dc125fc74de,0,,good
mvtec_2c605443449fc856,0,,good
mvtec_b33e888c5cf2268e,0,,good
mvtec_c72ad79642e72cc9,0,,good
mvtec_8fae87e834211fb5,0,,good
mvtec_16aea350b54a3211,0,,good
mvtec_77bc03fe6ec1c416,0,,good
mvtec_1f16fb0307f3d40f,0,,good
mvtec_95e6a07a3ad86a7e,0,,good
mvtec_31e852a24f6cee13,0,,good
mvtec_8fb7af968b11fd4d,0,,good
mvtec_9ab8434c8230cd7f,0,,good
mvtec_04f932b93d466e97,0,,good
mvtec_c7558214f06fbfbf,0,,good
mvtec_e2fa4c0fa1e4b17f,0,,good
mvtec_7c082f384571505f,0,,good
mvtec_e0e20c7534afd30c,0,,good
mvtec_0d5ebb67232c04f7,0,,good
mvtec_0f651b6a8e064b6b,0,,good
mvtec_111df32cb021cd4f,0,,good
mvtec_0ff5028ec4ab8535,0,,good
mvtec_ee5247cc92202e94,0,,good
mvtec_f4d42f8d4aa98224,0,,good
mvtec_815c7fdab25b9574,0,,good
mvtec_71ba27d996f32b57,0,,good
mvtec_688503eb5368600b,0,,good
mvtec_3b7fcf4f2e02c9ef,0,,good
mvtec_f62d8f9c6927ec72,0,,good
mvtec_929e7be85f525993,0,,good
mvtec_647401866851ec46,0,,good
mvtec_676245a2124380ba,0,,good
mvtec_e275b1d2b9052b6c,0,,good
mvtec_1b619786223a2630,0,,good
mvtec_a6a4933dd4e9edaf,0,,good
mvtec_f3e872edf0d810f8,0,,good
mvtec_e4a12eda5aab20d4,0,,good
mvtec_dcbd1cbcf90b40f9,0,,good
mvtec_a65c1626862d24f0,0,,good
mvtec_67378a3296739c72,0,,good
mvtec_3de2aa40a174dcfd,0,,good
mvtec_4d6ad71755f1e2d4,0,,good
mvtec_e4b9a4321ea4eb1d,0,,good
mvtec_706d4bced80e7061,0,,good
mvtec_812346857ca2190a,0,,good
mvtec_08a24270e072fe4f,0,,good
mvtec_4fe081923d21575d,0,,good
mvtec_cbe13182895b5de8,0,,good
mvtec_8ce0556ca2d7b0a9,0,,good
mvtec_df2530d15008ad37,0,,good
mvtec_c3e8f5ed0f2fa885,0,,good
mvtec_d6558e9844db0de6,0,,good
mvtec_53422a31693d99dd,0,,good
mvtec_74ed225aa747ad85,0,,good
mvtec_5ead2ab5f4ca801f,0,,good
mvtec_c65830c236d60ef2,0,,good
mvtec_62880c30e2974f8b,0,,good
mvtec_350a0643858a8402,0,,good
mvtec_b3bd0453d32511ad,0,,good
mvtec_050a470fb81f710e,0,,good
mvtec_589d0d134d05a6ec,0,,good
mvtec_4335f5c94fce0ea8,0,,good
mvtec_c2874528b902181c,0,,good
mvtec_e58e359fa83e95e5,0,,good
mvtec_ef18594a9e3dd2e4,0,,good
mvtec_c9f75e8240ff4faa,0,,good
mvtec_1319bd66836e2495,0,,good
mvtec_511d58e22482d22c,0,,good
mvtec_dd40e037ee85b96f,0,,good
mvtec_5ada1e191091573e,0,,good
mvtec_510a727563ec39f7,0,,good
mvtec_c3be44c2eba8096a,0,,good
mvtec_9ea78066254970fd,0,,good
mvtec_573b72090a637423,0,,good
mvtec_3b9981f60cbd5d56,0,,good
mvtec_1d2e0d1c814db2b6,0,,good
mvtec_c9a2216dbcf4ff95,0,,good
mvtec_2fb1c1fe7102f8bc,0,,good
