support_set_id,dataset,category,k_shot,seed,support_rank,image_id,image_path
visa_candle_k2_seed1,visa,candle,2,1,1,visa_fae86eec64b1333c,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0946.JPG
visa_candle_k2_seed1,visa,candle,2,1,2,visa_3fc4f78c9534aac0,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0435.JPG
visa_capsules_k2_seed1,visa,capsules,2,1,1,visa_2d9046ec737e6ddf,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/124.JPG
visa_capsules_k2_seed1,visa,capsules,2,1,2,visa_c87e3ff6ae475299,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/198.JPG
visa_cashew_k2_seed1,visa,cashew,2,1,1,visa_4cf1a845022307c4,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/355.JPG
visa_cashew_k2_seed1,visa,cashew,2,1,2,visa_4d70dc9438263c38,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/396.JPG
visa_chewinggum_k2_seed1,visa,chewinggum,2,1,1,visa_c8d8001d9d359c7b,/data/gauss/ldh/myDatasets/VisA/chewinggum/Data/Images/Normal/261.JPG
visa_chewinggum_k2_seed1,visa,chewinggum,2,1,2,visa_0af6e74543a12240,/data/gauss/ldh/myDatasets/VisA/chewinggum/Data/Images/Normal/175.JPG
visa_fryum_k2_seed1,visa,fryum,2,1,1,visa_8515eff864028b26,/data/gauss/ldh/myDatasets/VisA/fryum/Data/Images/Normal/044.JPG
visa_fryum_k2_seed1,visa,fryum,2,1,2,visa_07d3789457a96a0b,/data/gauss/ldh/myDatasets/VisA/fryum/Data/Images/Normal/051.JPG
visa_macaroni1_k2_seed1,visa,macaroni1,2,1,1,visa_864d43f3fe6f267d,/data/gauss/ldh/myDatasets/VisA/macaroni1/Data/Images/Normal/0816.JPG
visa_macaroni1_k2_seed1,visa,macaroni1,2,1,2,visa_234f907cffeeca41,/data/gauss/ldh/myDatasets/VisA/macaroni1/Data/Images/Normal/0077.JPG
visa_macaroni2_k2_seed1,visa,macaroni2,2,1,1,visa_95f10d63469b473e,/data/gauss/ldh/myDatasets/VisA/macaroni2/Data/Images/Normal/0595.JPG
visa_macaroni2_k2_seed1,visa,macaroni2,2,1,2,visa_76b79ae44517b2e3,/data/gauss/ldh/myDatasets/VisA/macaroni2/Data/Images/Normal/0521.JPG
visa_pcb1_k2_seed1,visa,pcb1,2,1,1,visa_ea89fe49b70bb18c,/data/gauss/ldh/myDatasets/VisA/pcb1/Data/Images/Normal/0018.JPG
visa_pcb1_k2_seed1,visa,pcb1,2,1,2,visa_098aafcee38f881d,/data/gauss/ldh/myDatasets/VisA/pcb1/Data/Images/Normal/0063.JPG
visa_pcb2_k2_seed1,visa,pcb2,2,1,1,visa_56655d078473d09e,/data/gauss/ldh/myDatasets/VisA/pcb2/Data/Images/Normal/0598.JPG
visa_pcb2_k2_seed1,visa,pcb2,2,1,2,visa_13408ab1e8ca7adf,/data/gauss/ldh/myDatasets/VisA/pcb2/Data/Images/Normal/0734.JPG
visa_pcb3_k2_seed1,visa,pcb3,2,1,1,visa_3a6f4d9746ebdd77,/data/gauss/ldh/myDatasets/VisA/pcb3/Data/Images/Normal/0241.JPG
visa_pcb3_k2_seed1,visa,pcb3,2,1,2,visa_bfca5af1208debd0,/data/gauss/ldh/myDatasets/VisA/pcb3/Data/Images/Normal/0812.JPG
visa_pcb4_k2_seed1,visa,pcb4,2,1,1,visa_22c8000c5e6bef40,/data/gauss/ldh/myDatasets/VisA/pcb4/Data/Images/Normal/0759.JPG
visa_pcb4_k2_seed1,visa,pcb4,2,1,2,visa_69dc07eebdfb9b27,/data/gauss/ldh/myDatasets/VisA/pcb4/Data/Images/Normal/0722.JPG
visa_pipe_fryum_k2_seed1,visa,pipe_fryum,2,1,1,visa_d3365a6ddadf75aa,/data/gauss/ldh/myDatasets/VisA/pipe_fryum/Data/Images/Normal/047.JPG
visa_pipe_fryum_k2_seed1,visa,pipe_fryum,2,1,2,visa_9f21dfb0ae348fb7,/data/gauss/ldh/myDatasets/VisA/pipe_fryum/Data/Images/Normal/046.JPG
