support_set_id,dataset,category,k_shot,seed,support_rank,image_id,image_path
mvtec_bottle_k8_seed2,mvtec,bottle,8,2,1,mvtec_83af846e00c52da8,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/131.png
mvtec_bottle_k8_seed2,mvtec,bottle,8,2,2,mvtec_8a7cdaee4b8916ab,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/194.png
mvtec_bottle_k8_seed2,mvtec,bottle,8,2,3,mvtec_c09523c0979605f3,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/141.png
mvtec_bottle_k8_seed2,mvtec,bottle,8,2,4,mvtec_47084347423bda7f,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/009.png
mvtec_bottle_k8_seed2,mvtec,bottle,8,2,5,mvtec_befe7bef33c13a35,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/155.png
mvtec_bottle_k8_seed2,mvtec,bottle,8,2,6,mvtec_77bc03fe6ec1c416,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/020.png
mvtec_bottle_k8_seed2,mvtec,bottle,8,2,7,mvtec_a5778ba37bbdcd72,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/207.png
mvtec_bottle_k8_seed2,mvtec,bottle,8,2,8,mvtec_e58e359fa83e95e5,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/bottle/train/good/076.png
mvtec_cable_k8_seed2,mvtec,cable,8,2,1,mvtec_14d8e871bbebb5db,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/cable/train/good/048.png
mvtec_cable_k8_seed2,mvtec,cable,8,2,2,mvtec_501703a78d02ee51,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/cable/train/good/049.png
mvtec_cable_k8_seed2,mvtec,cable,8,2,3,mvtec_f59ca25ae1e458cb,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/cable/train/good/112.png
mvtec_cable_k8_seed2,mvtec,cable,8,2,4,mvtec_8d6f8145d4e7dd0d,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/cable/train/good/156.png
mvtec_cable_k8_seed2,mvtec,cable,8,2,5,mvtec_f6723995a8b0440d,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/cable/train/good/109.png
mvtec_cable_k8_seed2,mvtec,cable,8,2,6,mvtec_f2b4794206298997,/data/gauss/ldh/myDatasets/mvtec_anomaly_detection/cable/train/good/157.png
