support_set_id,dataset,category,k_shot,seed,support_rank,image_id,image_path
visa_candle_k8_seed4,visa,candle,8,4,1,visa_16c95d55013f5830,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0190.JPG
visa_candle_k8_seed4,visa,candle,8,4,2,visa_de35eb459ba4855a,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0576.JPG
visa_candle_k8_seed4,visa,candle,8,4,3,visa_380c9b93c7ee6d50,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0088.JPG
visa_candle_k8_seed4,visa,candle,8,4,4,visa_8a99e5b36e5c1966,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0666.JPG
visa_candle_k8_seed4,visa,candle,8,4,5,visa_caa1baad5ef21448,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0338.JPG
visa_candle_k8_seed4,visa,candle,8,4,6,visa_2d566bec12fc8a6a,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0200.JPG
visa_candle_k8_seed4,visa,candle,8,4,7,visa_c709a08647ff77c5,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0152.JPG
visa_candle_k8_seed4,visa,candle,8,4,8,visa_216b4283515c9249,/data/gauss/ldh/myDatasets/VisA/candle/Data/Images/Normal/0727.JPG
visa_capsules_k8_seed4,visa,capsules,8,4,1,visa_780dd7bd65a43a13,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/501.JPG
visa_capsules_k8_seed4,visa,capsules,8,4,2,visa_2a698f2054c6af45,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/262.JPG
visa_capsules_k8_seed4,visa,capsules,8,4,3,visa_cd0e9d3d55e8400e,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/448.JPG
visa_capsules_k8_seed4,visa,capsules,8,4,4,visa_24f27da7ddbf203f,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/508.JPG
visa_capsules_k8_seed4,visa,capsules,8,4,5,visa_dae9b602dcdc2779,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/099.JPG
visa_capsules_k8_seed4,visa,capsules,8,4,6,visa_7bd1e819aba34342,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/510.JPG
visa_capsules_k8_seed4,visa,capsules,8,4,7,visa_4f67ae792260a6d2,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/112.JPG
visa_capsules_k8_seed4,visa,capsules,8,4,8,visa_0a7f000ed6e18c88,/data/gauss/ldh/myDatasets/VisA/capsules/Data/Images/Normal/201.JPG
visa_cashew_k8_seed4,visa,cashew,8,4,1,visa_44e495df95cdc564,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/230.JPG
visa_cashew_k8_seed4,visa,cashew,8,4,2,visa_7618ee8c1ba21789,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/271.JPG
visa_cashew_k8_seed4,visa,cashew,8,4,3,visa_14db62626b216f9d,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/022.JPG
visa_cashew_k8_seed4,visa,cashew,8,4,4,visa_0952eb05d6172d92,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/068.JPG
visa_cashew_k8_seed4,visa,cashew,8,4,5,visa_68ca091eff8bba94,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/401.JPG
visa_cashew_k8_seed4,visa,cashew,8,4,6,visa_ed2e5369b7a1e4d8,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/144.JPG
visa_cashew_k8_seed4,visa,cashew,8,4,7,visa_b843bda034141292,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/334.JPG
visa_cashew_k8_seed4,visa,cashew,8,4,8,visa_47a488c141bb0fe3,/data/gauss/ldh/myDatasets/VisA/cashew/Data/Images/Normal/280.JPG
visa_chewinggum_k8_seed4,visa,chewinggum,8,4,1,visa_12e5ba01c710447e,/data/gauss/ldh/myDatasets/VisA/chewinggum/Data/Images/Normal/259.JPG
visa_chewinggum_k8_seed4,visa,chewinggum,8,4,2,visa_3cf19e5c531fac97,/data/gauss/ldh/myDatasets/VisA/chewinggum/Data/Images/Normal/085.JPG
visa_chewinggum_k8_seed4,visa,chewinggum,8,4,3,visa_fea7191d893367d4,/data/gauss/ldh/myDatasets/VisA/chewinggum/Data/Images/Normal/183.JPG
